,icd_code,sum,icd_eng,icd_kor,symptom
209,K55,2,Vascular disorders of intestine,장의 혈관장애,무증상||오심||변비||체중감소||복부팽만감||황달||흑색변||지방변||설사||회색변||소화불량||저혈압||빈혈||흡수장애||혈변||복부 통증||구토||잔변감||배변습관의 변화||점액변||열||장폐색
210,K56,11,Paralytic ileus and intestinal obstruction without hernia,탈장이 없는 마비성 장폐색증 및 장폐색,무증상||오심||구토||근육통||오한||발진||열
211,K57,4,Diverticular disease of intestine,장의 게실병,무증상||오심||변비||체중감소||복부팽만감||황달||흑색변||지방변||설사||회색변||소화불량||저혈압||빈혈||흡수장애||혈변||복부 통증||구토||잔변감||배변습관의 변화||점액변||열||장폐색
212,K59,63,Other functional intestinal disorders,기타 기능성 장장애,구토||설사||비정상적 질출혈||소화불량||변비||포만감||어지러움||체중감소||저혈압||복부팽만감||가슴 쓰림||트림||식후 불쾌감||가슴 두근거림||복부 통증||빈맥
213,K62,15,Other diseases of anus and rectum,항문 및 직장의 기타 질환,복부 통증||오심||배변습관의 변화||고름||잔변감||생식기 출혈||변실금||소양감||설사||항문출혈||복부팽만감||항문주위 염증||열||발적||혈변||항문 통증||회음부의 작은 돌기
214,K70,10,Alcoholic liver disease,알콜성 간질환,무증상||오심||위장관 출혈||복수||구토||간성뇌증||피로감||식욕부진||황달||기운없음||복부 통증||열
215,K71,11,Toxic liver disease,독성간질환,
216,K72,16,"Hepatic failure, NEC",달리 분류되지 않은 간부전,간성뇌증||급성 신부전||뇌부종||출혈 경향성||다발성 장기부전 증상
217,K74,8,Fibrosis and cirrhosis of liver,간의 섬유증 및 경변증,구토||오심||오한||복수||설사||무증상||압통||피로감||체중감소||복부팽만감||식욕부진||복부 압박 증상||황달||기운없음||피부 긴장도 저하||복부 불편감||간비대||복부 통증||열
218,K75,4,Other inflammatory liver diseases,기타 염증성 간질환,비정상적 질 분비물||오심||피부색 변화||변비||골반 통증||삼키기 곤란||설사||식욕부진||감각 이상||안면마비||다리 통증||근육경련||피로감||종아리 근육의 비대||체중감소||관절통||호흡곤란||가슴 두근거림||발한||복시||탈수||배뇨장애||근위축||척추 측만||염증 장애에 따라 다양||빈혈||혈변||관절 구축||근력 약화||복부 통증||악취||구토||관절염||안검하수||발진||피부궤양||점액변||열||환부 부종||골다공증
219,K76,3,Other diseases of liver,간의 기타 질환,구토||오심||오한||복수||설사||무증상||압통||피로감||체중감소||복부팽만감||식욕부진||복부 압박 증상||황달||기운없음||피부 긴장도 저하||복부 불편감||간비대||복부 통증||열
220,K80,4,Cholelithiasis,담석증,악취가 나는 설사||오심||소화불량||구토||오한||열||복부 통증||황달
221,K82,1,Other diseases of gallbladder,담낭의 기타 질환,"변비||종아리 근육의 비대||객혈||안면마비||출혈 경향성||사지의 창백한 현상||시림||손의 통증||오한||청색증||피부소양감||피부궤양||탈수||근위축||호흡기감염||근력 약화||근육강직||악취||비장비대||난청||천명음||궤양||배변습관의 변화||삼키기 곤란||다발성 장기부전 증상||운동 시 호흡곤란||위장관 출혈||간부전||근육경련||피로감||어지러움||학습장애||흉곽 팽윤||설사||감각 이상||멍||혈전증||척추 측만||반신마비||빈혈||괴사||피부색 변화||혈변||간비대||관절 구축||복부 통증||곤봉지||시력 감소||소변량 감소||점액변||기침||비정상적 질 분비물||전신 부종||손,발톱이 갈라짐||복부팽만감||피부 각질||황달||마비||말초 통증||발음 이상||옆구리 통증||청력장애||태아 저체중||복시||두통||눈꺼풀의 떨림||발가락의 변형||안면홍조||폐동맥 고혈압||무뇨||발가락 사이 갈라짐||무증상||오심||복수||말초의 허혈||골반 통증||근육의 뒤틀림||운동장애||가래||체중감소||혼수||피부 건조||호흡곤란||사경||저림||근육긴장||심부전||소양감||폐출혈||정신 지체||안검하수||시야장애||열||언어장애"
222,K83,4,Other diseases of biliary tract,담도의 기타 질환,"변비||종아리 근육의 비대||객혈||안면마비||출혈 경향성||사지의 창백한 현상||시림||손의 통증||오한||청색증||피부소양감||피부궤양||탈수||근위축||호흡기감염||근력 약화||근육강직||악취||비장비대||난청||천명음||궤양||배변습관의 변화||삼키기 곤란||다발성 장기부전 증상||운동 시 호흡곤란||위장관 출혈||간부전||근육경련||피로감||어지러움||학습장애||흉곽 팽윤||설사||감각 이상||멍||혈전증||척추 측만||반신마비||빈혈||괴사||피부색 변화||혈변||간비대||관절 구축||복부 통증||곤봉지||시력 감소||소변량 감소||점액변||기침||비정상적 질 분비물||전신 부종||손,발톱이 갈라짐||복부팽만감||피부 각질||황달||마비||말초 통증||발음 이상||옆구리 통증||청력장애||태아 저체중||복시||두통||눈꺼풀의 떨림||발가락의 변형||안면홍조||폐동맥 고혈압||무뇨||발가락 사이 갈라짐||무증상||오심||복수||말초의 허혈||골반 통증||근육의 뒤틀림||운동장애||가래||체중감소||혼수||피부 건조||호흡곤란||사경||저림||근육긴장||심부전||소양감||폐출혈||정신 지체||안검하수||시야장애||열||언어장애"
223,K92,20,Other diseases of digestive system,소화계통의 기타 질환,"변비||종아리 근육의 비대||객혈||안면마비||출혈 경향성||사지의 창백한 현상||시림||손의 통증||오한||청색증||피부소양감||피부궤양||탈수||근위축||호흡기감염||근력 약화||근육강직||악취||비장비대||난청||천명음||궤양||배변습관의 변화||삼키기 곤란||다발성 장기부전 증상||운동 시 호흡곤란||위장관 출혈||간부전||근육경련||피로감||어지러움||학습장애||흉곽 팽윤||설사||감각 이상||멍||혈전증||척추 측만||반신마비||빈혈||괴사||피부색 변화||혈변||간비대||관절 구축||복부 통증||곤봉지||시력 감소||소변량 감소||점액변||기침||비정상적 질 분비물||전신 부종||손,발톱이 갈라짐||복부팽만감||피부 각질||황달||마비||말초 통증||발음 이상||옆구리 통증||청력장애||태아 저체중||복시||두통||눈꺼풀의 떨림||발가락의 변형||안면홍조||폐동맥 고혈압||무뇨||발가락 사이 갈라짐||무증상||오심||복수||말초의 허혈||골반 통증||근육의 뒤틀림||운동장애||가래||체중감소||혼수||피부 건조||호흡곤란||사경||저림||근육긴장||심부전||소양감||폐출혈||정신 지체||안검하수||시야장애||열||언어장애"
224,L40,4,Psoriasis,건선,발진||인설||고름
225,L83,2,Acanthosis nigricans,흑색극세포증,
226,L89,54,Decubitus ulcer and pressure area,욕창궤양 및 압박부위,
227,L97,16,"Ulcer of lower limb, NEC",달리 분류되지 않은 다리의 궤양,오심||피부균열||피부색 변화||변비||탈수||흑색변||복부팽만감||식욕부진||환부의 분비물||생식기 궤양||눈물흘림||작열감||눈부심||시림||체중감소||림프 부종||괴사||물집||피부 건조||피부궤양||저림||가슴 쓰림||설사||감각 이상||소화불량||위장관 출혈||열감||눈의 피로||빈혈||눈의 충혈||발적||시력 감소||혈변||가슴 통증||복부 통증||구토||눈의 통증||토혈||발가락의 변형||눈의 자극감||점액변||잔변감||열||장폐색||환부 부종
228,M08,2,Juvenile arthritis,연소성 관절염,무릎 부위 통증||다발성 관절염||관절잡음||관절 운동성 감소||압통||손마디가 뻣뻣해짐||관절통||관절 불안정증||관절의 경직||오한||뻣뻣함||발적||환부 부종||관절염||무릎 부위 부종||환부 통증||열감||운동장애||열
229,M11,4,Other crystal arthropathies,기타 결정 관절병증,설사||산통||백혈구 증가||열||혈변||복부 통증
230,M14,2,,,Empty Icd Name
231,M15,7,Polyarthrosis,다발관절증,
232,M16,4,Coxarthrosis [arthrosis of hip],고관절증,골반 통증||보행이상||관절 운동성 감소
233,M17,6,Gonarthrosis[arthrosis of knee],무릎관절증,무릎 부위 통증||관절잡음||무릎 부위 부종||관절 운동성 감소
234,M35,9,Other systemic involvement of connective tissue,결합조직의 기타 전신침범,
235,M45,5,Ankylosing spondylitis,강직척추염,골반 통증||어깨의 통증||요통||엉덩이 통증||관절의 경직||관절통||말초 통증
236,M54,20,Dorsalgia,등통증,
237,M60,3,Myositis,근염,피부색 변화||근육통||삼키기 곤란||발진||부정맥||근육경련||피로감||종아리 근육의 비대||관절통||호흡곤란||피부궤양||울혈성 심부전||설사||근위축||척추 측만||가슴 통증||관절 구축||근력 약화||구토||안검하수||감기 증상||열||환부 부종
238,M62,30,Other disorders of muscle,근육의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
239,M79,46,"Other soft tissue disorders, NEC",달리 분류되지 않은 기타 연조직장애,
240,M80,11,Osteoporosis with pathological fracture,병적 골절을 동반한 골다공증,긴장||감각 이상||충동 조절 어려움||흥분||우울||환부 통증||뼈의 변형||마찰음||환부 부종||신경과민||근육강직||충동적 도벽
241,M86,2,Osteomyelitis,골수염,배뇨곤란||피로감||열감||오한||두통||근육경련||요통||체중감소||관절통||뼈의 변형||환부 부종||식욕부진||열||피부 긴장도 저하||권태감||마비
242,M87,2,Osteonecrosis,골괴사,환부 부종||관절 운동성 감소||병적골절||환부 통증
243,M89,1,Other disorders of bone,뼈의 기타 장애,암 부위별로 다름||종양부위 부종||덩어리가 만져짐
244,M90,1,,,Empty Icd Name
245,N00,1,Acute nephritic syndrome,급성 신염증후군,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
246,N05,1,Unspecified nephritic syndrome,상세불명의 신염증후군,
247,N08,18,,,Empty Icd Name
248,N10,24,Acute tubulo-interstitial nephritis,급성 세뇨관-간질신장염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
249,N11,5,Chronic tubulo-interstitial nephritis,만성 세뇨관-간질신장염,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
250,N12,4,"Tubulo-interstitial nephritis, not specified as acute or chronic",급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
251,N17,346,Acute renal failure,급성 신부전,오심||전신 부종||무뇨||구토||탈수||경련||산혈증||쇼크||소변량 감소||저혈량 쇼크
252,N18,247,Chronic kidney disease,만성 신장병,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
253,N19,16,Unspecified kidney failure,상세불명의 신부전,오심||전신 부종||복수||식욕부진||고혈압||쇼크||저혈량 쇼크||피로감||혼수||피부소양감||얼굴부종||탈수||감각 이상||빈혈||산혈증||경련||구토||만성 신부전||신부전||면역기능 이상||무뇨||피부 긴장도 저하||소변량 감소
254,N20,1,Calculus of kidney and ureter,신장 및 요관의 결석,"무증상||오심||전신 부종||망막 이상||복부팽만감||각막 이상||납작한 코, 축 쳐진 귀||쇼크||고혈압||옆구리 통증||저혈량 쇼크||피로감||신증후군||혼수||단백뇨||피부소양감||호흡곤란||표준 신장의 3%이하||탈수||두통||수정체 이상||멍||산혈증||혈변||경련||출혈 경향성||신장 발육부전||구토||만성 신부전||혈뇨||무뇨||기침||난청||소변량 감소"
255,N25,1,Disorders resulting from impaired renal tubular function,세뇨관기능손상으로 인한 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
256,N30,3,Cystitis,방광염,배뇨곤란||작열감||골반 통증||배뇨 시 통증||긴박뇨||빈뇨||탁한 소변||야간뇨||방광 팽만||복부 통증
257,N39,30,Other disorders of urinary system,비뇨계통의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
258,N40,29,Hyperplasia of prostate,전립선증식증,
259,N41,13,Inflammatory diseases of prostate,전립선의 염증성 질환,비정상적 질 분비물||오심||피부색 변화||변비||골반 통증||삼키기 곤란||설사||식욕부진||감각 이상||안면마비||다리 통증||근육경련||피로감||종아리 근육의 비대||체중감소||관절통||호흡곤란||가슴 두근거림||발한||복시||탈수||배뇨장애||근위축||척추 측만||염증 장애에 따라 다양||빈혈||혈변||관절 구축||근력 약화||복부 통증||악취||구토||관절염||안검하수||발진||피부궤양||점액변||열||환부 부종||골다공증
260,O04,1,Medical abortion,의학적 유산,유방의 퇴행||비정상적 질출혈||골반 통증||멍||체중감소||커지지 않는 자궁||습관성 유산||비출혈||복부 통증
261,O07,2,Failed attempted abortion,시도된 유산의 실패,
262,O08,1,Complications following abortion and ectopic and molar pregnancy,"유산, 자궁외임신 및 기태임신에 따른 합병증",비정상적 질출혈||복부 통증
263,O09,2,,,Empty Icd Name
264,O24,13,Diabetes mellitus in pregnancy,임신중 당뇨병,시력 감소||전신 부종||소변량 감소||두통
265,O26,156,Maternal care for other conditions predominantly related to pregnancy,주로 임신에 관련된 기타 병태의 산모관리,
266,O47,4,False labour,가진통,불규칙적 진통||비정상적인 진통
267,O80,5,Single spontaneous delivery,단일자연분만,
268,O82,5,Single delivery by caesarean section,제왕절개에 의한 단일분만,오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
269,O99,17,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 기타 산모질환",목소리 변화||점상 출혈||눈운동신경마비||의식 저하||말초의 허혈||골반 통증||삼키기 곤란||오심||운동 시 호흡곤란||구강궤양||목의 통증||배뇨장애||관절통||감정 변화||방향감각 상실||반상출혈||복부비만||잦은 감염||수면 마비||마비||말초 통증||희발월경||안면마비||출혈 경향성||다리 통증||정신 혼미||근육경련||피로감||체중감소||혼수||손의 통증||뼈의 변형||오한||인지장애||불임||기운없음||호흡곤란||가슴 두근거림||입수면기의 환각||저림||추위를 못견딤||복시||설사||감각 이상||창백||목의 이물감||두통||어깨의 통증||멍||혈전증||소양감||성기능 장애||열감||비출혈||환부 부종||빈혈||낮 시간대의 졸음||탈력발작||저혈압||졸림||시력 감소||불면증||뇌전증 발작||경련||복부 통증||저혈당||근육강직||질의 건조함||구토||뼈의 통증||자세 불안정||경부 강직||식욕부진||근력 약화||안면홍조||시야장애||열||골다공증||피부 긴장도 저하||비장비대||뇌염증상||권태감||혼돈
270,P01,2,Fetus and newborn affected by maternal complications of pregnancy,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아,"오심||태아, 신생아의 기형||O자 다리||무호흡||척추 후만||복부팽만감||기민상태||발육부전||서맥||청색증||저체온||호흡곤란||태아 저체중||설사||척추 측만||창백||태아, 신생아의 정신 장애||심부전||빈혈||신경과민||혈변||복벽이 움푹 들어감||구토||양수의 감소||탈장"
271,P07,1,"Disorders related to short gestation and low birth weight, NEC",달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
272,P52,1,Intracranial nontraumatic haemorrhage of fetus and newborn,태아 및 신생아의 두개내 비외상성 출혈,"오심||태아, 신생아의 기형||O자 다리||무호흡||척추 후만||복부팽만감||기민상태||발육부전||서맥||청색증||저체온||호흡곤란||태아 저체중||설사||척추 측만||창백||태아, 신생아의 정신 장애||심부전||빈혈||신경과민||혈변||복벽이 움푹 들어감||구토||양수의 감소||탈장"
273,Q21,3,Congenital malformations of cardiac septa,심장중격의 선천기형,
274,Q22,1,Congenital malformations of pulmonary and tricuspid valves,폐동맥판 및 삼첨판의 선천기형,
275,Q38,9,"Other congenital malformations of tongue, mouth and pharynx","혀, 입 및 인두의 기타 선천기형","수유 곤란||피부색 변화||비정상적 질 분비물||육아조직||무산소 발작||환부 통증||골반 통증||발육부전||턱의 통증||발음 이상||입술, 입천장의 기형||청력장애||서맥||청색증||호흡곤란||생식기 통증||빈호흡||작열감||심부전||소양감||저산소증||얼굴형태의 이상||얼굴모양변화||발적||치아발달장애||복부 통증||비정상적 질출혈||저작장애||물집||잔뇨감||근긴장의 이상||환부 부종||생식기 부종"
276,Q85,2,"Phakomatoses, NEC",달리 분류되지 않은 모반증,
277,Q90,1,Down’s syndrome,다운증후군,
278,R00,80,Abnormalities of heart beat,심장박동의 이상,소아기호증||수유 곤란||무증상||근육의 뒤틀림||삼키기 곤란||천식||빈호흡||운동 시 호흡곤란||잦은 상기도 감염||목의 통증||부정맥||피학증||무릎 부위 부종||발육부전||불임||발음 이상||출혈 경향성||얼굴모양변화||근육경련||피로감||체중감소||월경과다||가슴 두근거림||청색증||호흡곤란||사경||색깔이 퇴색해보임||태동의 위치 이상||근육긴장||호기의 증가||노출증||비정상적 성적 기호||비정상적인 진통||낮은 자존감||고탄산증||실신||저산소증||빈혈||비정상적 질출혈||무릎 부위 통증||가학증||여드름||흉곽 팽윤||접촉도착증||색맹||근육강직||저작장애||눈꺼풀의 떨림||관절 운동성 감소||잦은 감염||생리불순||열||언어장애||피부 긴장도 저하||관음증||눈꺼풀 처짐증
279,R03,16,"Abnormal blood-pressure reading, without diagnosis",진단명 없는 혈압수치이상,무증상||오심||구토||근육통||오한||발진||열
280,R04,30,Haemorrhage from respiratory passages,기도출혈,
281,R05,937,Cough,기침,기침||코막힘
282,R06,774,Abnormalities of breathing,호흡의 이상,소아기호증||수유 곤란||무증상||근육의 뒤틀림||삼키기 곤란||천식||빈호흡||운동 시 호흡곤란||잦은 상기도 감염||목의 통증||부정맥||피학증||무릎 부위 부종||발육부전||불임||발음 이상||출혈 경향성||얼굴모양변화||근육경련||피로감||체중감소||월경과다||가슴 두근거림||청색증||호흡곤란||사경||색깔이 퇴색해보임||태동의 위치 이상||근육긴장||호기의 증가||노출증||비정상적 성적 기호||비정상적인 진통||낮은 자존감||고탄산증||실신||저산소증||빈혈||비정상적 질출혈||무릎 부위 통증||가학증||여드름||흉곽 팽윤||접촉도착증||색맹||근육강직||저작장애||눈꺼풀의 떨림||관절 운동성 감소||잦은 감염||생리불순||열||언어장애||피부 긴장도 저하||관음증||눈꺼풀 처짐증
283,R07,95,Pain in throat and chest,목구멍 및 가슴의 통증,팔의 통증||변비||압통||근육통||보챔||요통||환부 통증||목의 통증||전신 통증||뇌압상승증상||무릎 부위 부종||관절 불안정증||관절잡음||눈물흘림||무감각||미각이상||우울||피로감||어지러움||관절통||긴박뇨||박동성 통증||빈뇨||방사통||편두통||야간뇨||저림||혀의 통증||무릎 부위 통증||설사||코막힘||작열감||어깨의 통증||콧물||관절의 경직||피부 긴장도 저하||유방 통증||복부 불편감||가슴 통증||근력 약화||복부 통증||눈이 무거운 느낌||발작적인 울음||눈의 통증||관절 운동성 감소||발의 통증||수면장애||환부 부종||방광 팽만||근육경련
284,R09,186,Other symptoms and signs involving the circulatory and respiratory systems,순환계통 및 호흡계통의 기타 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
285,R10,38,Abdominal and pelvic pain,복부 및 골반 통증,복부의 박동감||관절염||요통||관절통||복부팽만감||불임||호흡곤란||수면 무호흡||심혈관계 증상||쇼크||복부 통증||고혈압
286,R11,80,Nausea and vomiting,구역 및 구토,
287,R13,30,Dysphagia,삼킴곤란,
288,R15,6,Faecal incontinence,대변실금,변실금
289,R18,9,Ascites,복수,전신 부종||경정맥 확장||체중증가||호흡곤란||소변량 감소||탈장
290,R19,92,Other symptoms and signs involving the digestive system and abdomen,소화계통 및 복부의 기타 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
